name,level,hp,ac,fortitude,reflex,will,attack_bonus,spell_dc,spell_attack_bonus
Erinys,8,120,27,+17,+19,+16,"+19, +19, +20",26,
Esipil,1,16,17,+7,+9,+5,"+9, +9",15,
Esobok,3,55,18,+11,+8,+8,"+12, +12",17,
Ether Spider,5,75,21,+12,+15,+10,"+14, +15",,
Etioling Blightmage,10,150 ( negative healing ),29,+19,+21,+17,+21,29,21
Ettin,6,110,21,+16,+11,+12,"+16, +16",,
Eunemvro,5,78,22,+13,+14,+11,"+14, +14",20,
Evangelist,6,90,24,+15,+14,+11,+17,,
Excorion,7,160 ( negative healing ),24,+17,+18,+14,"+18, +18",,
Executioner,6,105,23,+15,+12,+14,+16,,
Fading Fox,2,25,21,+7,+10,+7,+10,,
Faithless Ecclesiarch,6,93 ( negative healing ),21,+12,+13,+16,+14,"24, 24",16
Fallen Champion,8,130 ( negative healing ),28,+19,+14,+17,+20,"25, 25",
False Priest,4,51,21,+11,+12,+10,"+12, +12",,
Fantooth School,3,40,18,+11,+10,+9,,,
Farmer,0,20,14,+7,+5,+4,"+5, +6",,
Faydhaan,9,145,28,+17,+18,+18,"+20, +20, +21",24,
Faydhaan Shuyookh,14,240,36,+23,+27,+25,"+27, +29, +29",34,26
Feathered Bear,10,160,29,+21,+16,+18,"+21, +21",27,
Fen Mosquito Swarm,3,25,19,+8,+11,+5,,,
Fence,5,70,20,+9,+12,+15,"+12, +12, +12",,
Feral Skull Swarm,12,160 ( negative healing ),32,+25,+22,+19,,,
Ferrous Butterfly,1,20,15,+6,+9,+5,+9,,
Festering Gnasher,1,18 ( negative healing ),16,+4,+9,+6,+9,,
Festrog,1,24 ( negative healing ),15,+7,+7,+6,"+9, +9",,
Fetchling Scout,1,18,18,+5,+9,+5,"+9, +9",15,
Fey Dragonet,2,30,18,+5,+12,+11,+8,"18, 21",10
Fiddling Bones,3,30 ( negative healing ),18,+6,+12,+9,"+10, +10, +10",,
Filth Fire,4,70,21,+12,+13,+9,"+13, +13",,
Fire Giant,10,175,31,+23,+16,+18,"+21, +23, +24",,
Fire Jellyfish Swarm,6,155,13,+16,+15,+10,,,
Fire Scamp,1,16 ( fast healing 2  (while touching fire)),17,+3,+9,+7,+9,15,
Fire Wisp,0,18,16,+6,+7,+4,+6,,
Firewyrm,9,165 (explosion),28,+18,+20,+15,"+20, +20",,
Fjord Linnorm,16,315,40,+30,+28,+24,"+33, +33, +33",37,
Flame Drake,5,75,22,+12,+10,+10,"+14, +14",,
Flaming Skull,2,30 ( negative healing ),18,+5,+10,+7,"+10, +10",,
Flash Beetle,-1,6,16,+5,+8,+4,+8,,
Flumph,1,17,17,+5,+9,+8,+7,,
Fluxwraith,17,250 ( negative healing ),39,+25,+34,+30,"+34, +34",39,31
Flynkett,3,60,19,+10,+11,+7,"+9, +11",,
Flytrap Leshy,4,72,20,+9,+12,+13,"+11, +13, +13",21,
Forest Troll,5,125,20,+17,+11,+7,"+14, +14",,
Fortune Eater,7,"100 ( negative healing , rejuvenation)",25,+15,+17,+13,"+17, +17, +17",,
Froghemoth,13,285,32,+26,+21,+23,"+27, +27, +27",,
Frost Drake,7,115,25,+17,+15,+14,"+17, +17",,
Frost Giant,9,150,29,+23,+16,+16,"+19, +21, +21",,
Frost Troll,4,90,19,+13,+10,+8,"+10, +13, +13, +13",,
Frost Worm,12,225,33,+24,+22,+20,+25,,
Fuath,1,18,17,+5,+9,+6,"+9, +9",17,
Fungus Leshy,2,30,19,+8,+10,+6,"+10, +10",16,
Gallowdead,15,280 ( negative healing ),37,+28,+25,+27,"+29, +31",,
Galvo,9,158,27,+18,+21,+15,"+21, +21",,
Gancanagh,4,75,21,+9,+13,+11,+13,23,
Gang Leader,7,104,26,+13,+17,+10,"+18, +18",,
Ganzi Martial Artist,3,36,21,+7,+11,+9,"+11, +11",19,11
Gargoyle,4,40,21,+13,+10,+10,"+13, +13",,
Garuda,9,135,28,+17,+21,+16,"+21, +21, +22",27,
Gashadokuro,13,230 ( negative healing ),33,+26,+21,+24,"+27, +27",,
Gathlain Wanderer,1,14,17,+5,+9,+6,"+9, +9",,
Geist,9,120 ( negative healing ),26,+13,+20,+17,+20,,
Gelatinous Cube,3,90,10,+12,+0,+5,+11,,
Gelugon,13,215,34,+24,+24,+26,"+25, +27, +28",33,
Gennayn,2,30,17,+4,+10,+8,+10,18,10
Ghaele,13,235,34,+26,+20,+23,"+25, +28",33,
Ghast,2,30 ( negative healing ),18,+6,+10,+8,"+11, +11",,
Gholdako,10,215 ( negative healing ),27,+21,+17,+14,"+19, +23, +23",,
Ghonhatine,10,175,30,+22,+17,+19,"+19, +23, +23",,
Ghoran Manipulator,3,45,18,+8,+8,+11,"+7, +8, +8","20, 20",
Ghost Ape,4,65,20,+14,+10,+12,"+14, +14",,
Ghost Commoner,4,"30 (rejuvenation,  void healing )",20,+8,+11,+8,+13,,
Ghost Mage,10,"135 (rejuvenation,  void healing )",27,+16,+19,+22,+21,29,23
Ghost Pirate Captain,8,"100 ( negative healing , rejuvenation)",26,+14,+18,+15,"+20, +20",,
Ghoul Soldier,2,28 ( void healing ),17,+8,+8,+6,"+11, +11, +11",,
Ghoul Stalker,1,16 ( void healing ),17,+4,+9,+5,"+9, +9",,
Ghul,5,85 ( negative healing ),21,+13,+10,+13,"+15, +15",,
Giant Amoeba,1,45,8,+7,+3,+5,+8,,
Giant Anaconda,8,175,25,+20,+17,+15,"+19, +19",,
Giant Animated Statue,7,100,26,+17,+10,+9,"+12, +19",,
Giant Ant,2,30,18,+10,+7,+5,"+9, +9",,
Giant Badger,2,30,18,+10,+6,+8,"+11, +11",,
Giant Bat,2,30,18,+9,+8,+7,"+9, +9",,
Giant Centipede,-1,8,15,+7,+6,+2,+6,,
Giant Chameleon,3,60,18,+8,+12,+8,"+12, +12",,
Giant Cockroach,1,20,16,+6,+8,+4,+8,,
Giant Coppermouth,7,115,25,+15,+18,+12,+18,,
Giant Crab,2,24,19,+7,+9,+8,+10,,
Giant Crawling Hand,5,75 ( void healing ),22,+13,+11,+10,+15,,
Giant Dragonfly,4,60,21,+12,+14,+9,+14,,
Giant Dragonfly Nymph,3,46,19,+11,+9,+6,+12,,
Giant Eagle,3,45,17,+6,+11,+9,"+12, +12",,
Giant Fangtooth,4,75,20,+14,+11,+8,+15,,
Giant Fly,1,20,17,+6,+9,+6,+8,,
Giant Flying Squirrel,2,30,18,+7,+10,+6,"+11, +11",,
Giant Flytrap,10,185,29,+21,+17,+15,+23,,
Giant Frilled Lizard,5,75,22,+13,+12,+9,"+16, +16",,
Giant Frog,1,30,15,+8,+7,+5,"+8, +8",,
Giant Gecko,1,20,16,+6,+10,+5,+8,,
Giant Hermit Crab,5,114,21,+15,+9,+9,"+15, +15",,
Giant Hippocampus,8,170,27,+18,+16,+14,+18,,
Giant Jellyfish,7,165,15,+17,+15,+1,+18,,
Giant Leech,2,32,17,+9,+7,+5,+10,,
Giant Maggot,0,18,13,+9,+3,+3,+6,,
Giant Mantis,3,40,18,+10,+12,+7,"+12, +12",,
Giant Monitor Lizard,2,36,16,+9,+8,+5,+11,,
Giant Moray Eel,5,65,21,+14,+13,+9,+15,,
Giant Mosquito,6,80,24,+14,+17,+12,+17,,
Giant Octopus,8,135,27,+16,+17,+15,"+20, +20",,
Giant Opossum,2,35,17,+11,+8,+5,"+10, +10, +10",,
Giant Pangolin,4,63,21,+11,+8,+10,"+13, +13",,
Giant Porcupine,2,32,18,+10,+8,+6,"+11, +11",,
Giant Rat,-1,8,15,+6,+7,+3,+7,,
Giant Scorpion,3,45,18,+12,+9,+7,"+11, +11",,
Giant Seahorse,3,58,19,+11,+10,+6,"+11, +11",,
Giant Skunk,1,21,16,+8,+9,+4,"+8, +8",,
Giant Snapping Turtle,9,170,28,+19,+15,+19,+22,,
Giant Solifugid,1,20,16,+6,+8,+4,"+8, +8",,
Giant Squid,9,155,28,+15,+18,+21,"+21, +21, +21",,
Giant Stag Beetle,4,55,22,+13,+9,+8,"+11, +13",,
Giant Tarantula,6,135,21,+15,+13,+10,"+17, +17",,
Giant Tardigrade,9,120,23,+23,+16,+16,"+19, +19",,
Giant Tick,1,20,16,+9,+6,+4,+8,,
Giant Toad,2,36,17,+9,+8,+6,"+11, +11",,
Giant Viper,2,26,17,+8,+11,+6,+11,,
Giant Vulture,3,50,18,+13,+9,+6,"+10, +10",,
Giant Wasp,3,45,17,+9,+11,+6,+12,,
Giant Whiptail Centipede,3,45,19,+11,+9,+7,"+11, +11",,
Giant Wolverine,4,65,21,+13,+11,+9,"+12, +12",,
Gibbering Mouther,5,120,21,+15,+12,+10,"+14, +14",,
Gimmerling,12,235,34,+22,+25,+19,"+26, +26, +28",,
Girtablilu Seer,12,210,33,+22,+19,+25,"+24, +24",33,
Girtablilu Sentry,8,160,27,+20,+16,+12,"+20, +20, +21",,
Giylea,16,230,41,+26,+31,+28,"+30, +33",37,29
Glabrezu,13,280,34,+26,+19,+24,"+27, +27, +27",34,
Glass Golem,8,135,26,+17,+16,+14,+20,,
Gliminal,9,160,27,+19,+21,+16,"+19, +19",28,20
Globster,5,170,12,+16,+6,+9,+15,,
Gluttonous Geode,1,25,15,+8,+4,+6,+9,,
Gnome Bard,1,16,16,+5,+7,+9,"+8, +8",19,11
Goblin Commando,1,18,17,+7,+8,+5,"+8, +8",,
Goblin Dog,1,17,15,+8,+8,+5,+9,,
Goblin Pyro,1,15,17,+5,+9,+4,+7,16,6
Goblin Shark,5,85,21,+16,+11,+10,+13,,
Goblin War Chanter,1,16,17,+7,+8,+5,"+8, +8",17,7
Goblin Warrior,-1,6,16,+5,+7,+3,"+7, +7",,
Gogiteth,12,250,31,+25,+22,+20,"+26, +26",,
Goliath Spider,11,220,30,+25,+21,+17,"+22, +24",,
Gongorinan,11,205,31,+24,+21,+20,"+23, +23, +23, +24",30,
Gorgon,8,135,28,+18,+13,+17,"+18, +20",,
Gorilla,3,45,18,+12,+9,+6,"+11, +11",,
Gosreg,11,195,31,+18,+23,+22,"+21, +21",30,22
Gourd Leshy,1,20,17,+5,+9,+7,"+7, +9",15,
Granite Glyptodont,8,145,28,+18,+13,+17,+20,,
Grappling Spirit,9,125 ( negative healing ),27,+19,+19,+15,+21,,
Grave Robber,1,18,17,+7,+7,+5,"+6, +7",,
Gravedigger,1,22,15,+8,+4,+7,+9,,
Graveknight,10,"175 (rejuvenation,  void healing  (page 360))",31,+21,+19,+18,"+21, +23, +24",,
Graveknight Warmaster,14,"255 ( negative healing , rejuvenation)",38,+27,+24,+24,"+25, +29, +29",,
Gray Ooze,4,60,14,+12,+10,+8,+13,,
Great Cyclops,12,235,32,+25,+19,+22,"+23, +25, +25, +25",,
Great White Shark,4,60,21,+12,+10,+9,+14,,
Greater Barghest,7,105,25,+17,+15,+12,"+17, +17",25,
Greater Chimera,13,235,33,+26,+23,+20,+25,,
Greater Hell Hound,9,150,28,+21,+19,+16,+21,,
Greater Nightmare,11,200,31,+25,+24,+21,"+24, +24",30,
Greater Shadow,7,75 ( void healing ),24,+11,+18,+15,+18,25,
Green Hag,4,70,21,+11,+11,+12,+14,20,14
Green Man,24,525,51,+43,+39,+42,"+43, +46",48,
Grendel,19,360,44,+36,+32,+31,"+37, +37, +37",,
Griffon,4,60,21,+13,+13,+7,"+14, +14, +14",,
Grig,1,20,17,+6,+9,+9,"+9, +9",18,
Grikkitog,14,200,36,+28,+23,+24,+29,,
Grim Reaper,21,"320 (death's grace,  void healing )",47,+37,+41,+38,+40,47,37
Grimple,-1,9,15,+5,+7,+4,"+7, +7",16,
Grimstalker,5,60,22,+9,+15,+12,+15,22,14
Grindylow,0,14,15,+6,+7,+5,"+5, +7, +7, +7",,
Grioth Cultist,3,40,18,+7,+10,+10,"+10, +10","19, 20","11, 12"
Grioth Scout,1,16,17,+5,+9,+7,"+7, +7",16,8
Grippli Scout,1,20,18,+7,+9,+6,"+9, +9",,
Grizzly Bear,3,59,17,+12,+6,+8,"+11, +11",,
Grodair,5,88,20,+15,+9,+11,"+13, +15, +15",22,
Grothlut,3,50,17,+11,+5,+7,"+7, +11",,
Guard,1,20,18,+7,+5,+5,"+7, +7, +9, +9",,
Guard Dog,-1,8,15,+5,+7,+4,+6,,
Guardian Naga,10,175,31,+20,+21,+22,"+22, +22",29,21
Guecubu,8,110 ( negative healing ),27,+17,+16,+15,+20,26,
Gug,10,175,30,+22,+17,+19,"+23, +23",,
Guide,4,60,21,+12,+11,+14,"+9, +12",,
Guildmaster,8,135,26,+14,+14,+17,"+14, +16",,
Gurgist Mauler,6,120 ( negative healing ),23,+14,+12,+16,"+14, +17, +18",,
Guthallath,19,325,43,+38,+32,+30,"+38, +38",37,
Gylou,14,240,36,+22,+25,+28,"+30, +30",36,28
Hadrinnex,8,118,27,+18,+14,+17,"+18, +20",,
Hadrosaurid,4,60,21,+12,+10,+11,"+12, +14",,
Halfling Street Watcher,-1,8,15,+3,+8,+5,"+7, +9",,
Halfling Troublemaker,1,18,16,+4,+10,+7,"+9, +9",,
Hamatula,11,165,31,+23,+20,+20,"+23, +24",27,21
Haniver,-1,9,15,+4,+7,+3,+7,13,
Harbor Seal,2,30,17,+9,+11,+5,+9,,
Harbormaster,3,46,17,+8,+9,+8,"+11, +13",,
Hardhead Mole,0,20,15,+5,+8,+4,+4,,
Harlo Krant,4,80 ( negative healing ),20,+11,+10,+13,"+12, +12",21,13
Harmona,11,190,30,+18,+21,+24,"+23, +23",30,
Harpy,5,75,21,+9,+15,+12,"+15, +15",,
Harpy Skeleton,5,60 ( negative healing ),22,+11,+15,+9,"+15, +15, +15",,
Harrow Reader,-1,9,13,+3,+6,+10,+7,,
Harvest Regiment,8,135 (16 squares),26,+16,+14,+16,,,
Hatred Siktempora,18,240,42,+28,+30,+33,+35,40,
Hekatonkheires Titan,24,500,52,+44,+40,+37,"+43, +45",48,
Heliocoprion,10,230,28,+22,+19,+16,+22,,
Hell Hound,3,40,17,+9,+10,+7,+13,,
Hellbound Attorney,4,60,20,+9,+12,+13,+12,21,
Hellcat,7,110,25,+15,+17,+12,"+18, +18",,
Hellknight Cavalry Brigade,8,135,27,+18,+13,+16,,,
Hellwasp Swarm,8,95,24,+18,+16,+14,,,
Herexen,2,30 ( void healing  (page 360)),17,+5,+8,+10,+10,"18, 18",
Hermit Crab Swarm,4,42,19,+13,+10,+7,,,
Hesperid,9,175,28,+15,+21,+19,"+21, +21",28,20
Hesperid Queen,19,306,45,+31,+36,+34,"+36, +36","44, 44",36
Hexmoth,8,105,27,+19,+16,+11,"+13, +13",,
Hexworm,4,45,20,+11,+14,+6,+8,,
Hezrou,11,245,31,+23,+18,+22,"+24, +24",27,
Hieracosphinx,5,70,22,+12,+15,+10,"+15, +15",,
Hill Giant,7,140,24,+17,+12,+13,"+19, +19, +19",,
Hippocampus,1,24,15,+9,+4,+6,+7,,
Hippogriff,2,32,18,+8,+9,+6,"+9, +9, +9",,
Hippopotamus,5,85,21,+15,+9,+11,"+13, +15",,
Hobgoblin Archer,4,50,23,+10,+12,+8,"+12, +14",,
Hobgoblin General,6,90,25,+12,+15,+13,"+15, +17",,
Hobgoblin Soldier,1,20,18,+5,+6,+5,"+8, +8",,
Hodag,6,90,24,+17,+14,+12,"+17, +17, +17",,
Holdfast,4,55,20,+13,+12,+8,"+13, +13",,
Hollow Serpent,15,280 ( negative healing ),37,+26,+30,+24,"+30, +30",35,
Homunculus,0,17,17,+2,+7,+3,+7,,
Hooplamander,5,78,21,+12,+15,+9,"+13, +13",,
Horde Lich,15,"250 ( negative healing , rejuvenation)",35,+21,+27,+27,+27,39,31
Hound Archon,4,70,22,+14,+8,+11,"+14, +14",19,
Hound of Tindalos,7,90,25,+13,+17,+15,"+17, +17",21,
House Drake,1,16,17,+6,+8,+11,+9,17,
Hryngar Bombardier,1,20,18,+7,+8,+4,"+4, +8",17,
Hryngar Sharpshooter,0,18,15,+7,+7,+4,"+5, +7",12,
Hryngar Taskmaster,2,30,18,+8,+4,+8,+8,"18, 18",
Huldra,4,70,21,+9,+14,+11,"+14, +14",,
Hungry Ghost,6,"60 ( negative healing , rejuvenation)",23,+12,+17,+15,+17,,
Hunter,7,115,25,+15,+17,+15,"+18, +18, +18",,
Hunter Wight,7,112 ( negative healing ),24,+13,+17,+14,"+16, +18",,
Hunting Spider,1,16,17,+6,+9,+5,"+7, +9",,
Husk Zombie,2,55 ( negative healing ),17,+7,+9,+7,"+11, +11",,
Hyaenodon,3,45,18,+10,+8,+7,+12,,
Hyakume,15,275,36,+23,+25,+29,+27,40,32
Hydra,6,"90 (body, head regrowth)",23,+15,+12,+10,+16,,
Hyena,1,20,16,+7,+8,+4,+8,,
Ice Golem,5,80,21,+15,+11,+9,+15,,
Ice Linnorm,17,330,41,+32,+28,+27,"+34, +34, +34",38,
Ice Mephit,1,18 ( fast healing  2 (when touching ice or snow)),17,+5,+9,+3,+9,17,9
Ice Mummy,8,130 ( negative healing ),26,+16,+13,+18,"+19, +20",,
Icewyrm,10,185,30,+20,+21,+17,"+23, +23, +23",,
Ichor Slinger,4,65 ( negative healing ),20,+12,+11,+10,+13,,
Icicle Snake,2,35,18,+8,+9,+5,+9,,
Ifrit,9,175,28,+18,+17,+20,"+20, +21",27,19
Ifrit Pyrochemist,1,18,18,+5,+6,+3,"+8, +8",16,8
Ifrit Shuyookh,14,300,36,+26,+23,+27,"+29, +31",35,27
Iguanodon,6,95,24,+16,+12,+14,"+15, +17",,
Imentesh,10,175 ( fast healing  5),30,+21,+19,+17,"+23, +23, +23",29,
Imp,1,15,17,+5,+9,+7,+9,17,
Incutilis,2,21,17,+7,+7,+9,+8,,
Innkeeper,1,20,14,+6,+3,+9,"+5, +7, +7",,
Intellect Devourer,8,130,26,+14,+16,+18,+18,27,
Interlocutor,12,215,33,+23,+21,+26,+25,33,
Invidiak,7,90,22,+15,+16,+13,+13,26,
Ioton,0,14,14,+7,+6,+3,+6,14,
Irlgaunt,13,265,34,+22,+25,+24,"+26, +26",31,
Irnakurse,9,152,28,+20,+18,+16,"+20, +20",,
Iron Hag,6,80,24,+16,+12,+14,"+16, +16",,
Iron Warden,13,190,33,+26,+19,+22,+28,,
Iroran Mummy,10,190 ( negative healing ),31,+18,+21,+21,"+23, +23",29,
Iruxi Ossature,5,76 (twilight spirit),22,+15,+9,+13,"+11, +14, +14",,
Island Oni,17,390,38,+26,+28,+34,"+30, +33, +35",37,
Isqulug,11,230,31,+24,+20,+18,+22,30,22
Ittan-Momen,2,20,20,+8,+10,+5,+10,,
Jaathoom,5,55,22,+9,+14,+11,"+15, +16, +16",21,
Jaathoom Shuyookh,10,150,29,+17,+21,+19,"+23, +23, +24, +24",30,
Jabali,7,110,25,+18,+12,+15,"+19, +20",24,
Jabali Shuyookh,12,210,33,+24,+20,+22,"+27, +27, +28",32,
Jabberwock,23,500,49,+39,+37,+40,"+40, +42, +42, +42, +42",43,
Jah-Tohl,8,140,26,+15,+13,+18,"+20, +20",26,18
Jailer,3,45,20,+8,+10,+7,"+10, +10, +11",,
Jann,4,60,20,+10,+10,+13,"+12, +14, +14",21,
Jann Shuyookh,9,155,27,+19,+17,+18,"+18, +19, +20",28,
Japalisura,12,235,33,+20,+25,+20,"+23, +26",32,
Jinkin,1,19,15,+6,+10,+7,+9,17,
Jitterbone Contortionist,4,56 ( negative healing ),20,+10,+14,+10,+14,,
Jorogumo,13,270,33,+22,+23,+26,"+23, +27, +27",34,
Jotund Troll,15,360,35,+31,+23,+23,"+29, +29, +30",,
Judge,-1,9,13,+5,+1,+14,"+3, +4, +4",,
Jungle Drake,6,90,23,+17,+13,+11,"+17, +17",,
Jyoti,9,155,28,+15,+18,+21,"+20, +21, +21",28,20
K.H.W.'s Echo,14,280,36,+23,+24,+28,"+29, +29",,
Kangaroo,0,18,15,+7,+6,+3,"+7, +7",,
Kanya,7,135,25,+14,+16,+16,"+17, +18",26,
Kappa,2,35,18,+7,+10,+7,+11,,
Karkadann,7,120,25,+17,+14,+14,"+17, +17",25,
Kasa-Obake,4,65,20,+9,+12,+13,+14,,
Keketar,17,260 ( fast healing  10),40,+30,+28,+34,"+33, +33, +33",42,32
Kelpie,4,60,21,+11,+12,+14,+13,,
Kholo Bonekeeper,3,45,19,+8,+6,+10,"+10, +10",20,12
Kholo Hunter,2,29,18,+8,+7,+7,"+10, +10, +10",,
Kholo Sergeant,4,60,21,+12,+10,+8,"+12, +14, +14",,
Khravgodon,9,160,27,+20,+18,+16,"+21, +21, +21",,
Kimenhul,20,425,45,+33,+32,+35,"+38, +38",42,
Kinzaruk,3,45,19,+8,+11,+7,+11,,
Kirin,7,115,25,+13,+17,+15,"+18, +18",25,
Kishi,8,138,25,+13,+18,+17,"+20, +20",27,
Kitsune Trickster,2,24,18,+6,+10,+8,"+10, +10, +10, +12",18,10
Kizidhar,6,110,22,+17,+13,+12,+16,22,
Kizidhar Shuyookh,11,220,30,+24,+20,+20,"+23, +23",30,
Kobold Cavern Mage,2,20,16,+5,+6,+7,"+6, +6, +6",18,
Kobold Scout,1,16,16,+5,+9,+6,"+9, +9",,
Kobold Warrior,-1,7,16,+3,+7,+3,"+3, +5, +5",,
Kodama,5,95,21,+12,+11,+14,+13,23,
Kokogiak,12,215,33,+25,+19,+21,"+26, +26",,
Kolyarut,12,215,34,+23,+24,+22,"+23, +26",32,
Kongamato,11,190,30,+22,+20,+19,"+22, +22, +24, +24",,
Korred,4,65,21,+10,+13,+10,"+14, +14, +14",21,
Kovintus Geomancer,3,40,18,+8,+8,+11,"+12, +12",21,
Kraken,18,360,42,+35,+28,+32,"+37, +37, +37",40,
Krampus,21,380,46,+39,+34,+35,"+41, +41, +42",42,34
Krooth,8,150,26,+20,+17,+14,"+20, +20, +20",,
Kuchisake-Onna,14,252,36,+22,+28,+24,+30,,
Kurobozu,6,90 ( negative healing ),24,+12,+16,+14,+17,,
Kushtaka,4,40,21,+8,+13,+12,"+14, +14",21,13
Lacedon,2,32 ( negative healing ),18,+7,+10,+7,"+10, +10",,
Lamia,6,95,24,+12,+15,+15,"+13, +14, +16, +17",25,
Lamia Matriarch,8,135,27,+13,+18,+17,+19,"28, 28",
Lampad,5,85,22,+11,+14,+12,"+14, +14",22,
Lampad Queen,15,234,39,+26,+29,+25,"+29, +29","38, 38",
Lantern Archon,1,20,16,+6,+10,+4,+8,17,
Larval Ofalth,4,60,20,+11,+9,+9,"+11, +13",,
Last Guard,20,"330 ( negative healing , rejuvenation)",45,+34,+36,+31,,,
Lava Otter,1,22,15,+6,+9,+5,"+9, +9",,
Lawbringer Warpriest,5,64,23,+12,+8,+12,"+11, +13","20, 20",12
Leaf Leshy,0,15 (Weaknesses fire 2),18,+6,+6,+4,"+3, +6",14,
Ledalusca,2,40,17,+8,+9,+6,"+9, +10",,
Leng Ghoul,10,180 ( negative healing ),29,+18,+21,+19,"+23, +23",,
Leng Spider,13,235 ( fast healing  10),34,+22,+26,+24,"+27, +27, +27, +28",33,
Leopard,2,30,18,+8,+10,+5,"+10, +10",,
Leopard Seal,4,65,20,+12,+14,+8,"+12, +12",,
Leprechaun,2,25,18,+8,+11,+10,+7,18,10
Lerritan,21,490,46,+38,+34,+36,"+39, +39, +40",46,
Lesser Death,16,"255 (death's grace,  void healing )",39,+30,+33,+32,+32,38,
Leucrotta,5,85,21,+15,+9,+11,"+13, +15",,
Leukodaemon,9,155,28,+15,+21,+19,"+21, +21, +21",26,
Levaloch,7,105,25,+17,+14,+12,"+16, +16, +19",,
Leydroth,17,315,40,+32,+30,+28,"+33, +33, +33",38,
Librarian,-1,6,13,+2,+3,+7,"+3, +4, +5",,
Lich,12,"190 ( void healing , rejuvenation)",31,+17,+21,+23,+24,36,26
Lifeleecher Brawler,8,165 ( negative healing ),25,+20,+16,+13,"+19, +20, +20",,
Lightning Turtle,12,190,34,+25,+19,+22,"+22, +24",,
Lion,3,45,18,+9,+10,+7,"+11, +11",,
Lithic Locus,14,260,35,+27,+21,+27,+28,34,
Little Man in the Woods,6,95 ( negative healing ),24,+13,+17,+12,"+17, +18",,
Living Boulder,2,36,17,+10,+5,+8,+10,,
Living Grove,5,90,24,+12,+7,+15,"+11, +15",,
Living Landslide,5,90,21,+15,+8,+10,+16,,
Living Lodestone,6,95,23,+14,+13,+16,"+13, +15",,
Living Magma,13,250,35,+26,+20,+22,+27,,
Living Tar,7,165,14,+18,+6,+11,+18,,
Living Thunderclap,4,50,22,+10,+12,+9,"+14, +14",,
Living Waterfall,5,90,20,+14,+12,+10,+15,,
Living Whirlwind,5,50,24,+9,+16,+10,+14,,
Living Wildfire,5,80 (explosion),22,+11,+15,+10,"+15, +15",,
Lizardfolk Defender,1,21,16,+8,+7,+5,"+7, +8, +8, +8",,
Lizardfolk Scout,1,17,17,+6,+8,+6,"+7, +8, +8",,
Lizardfolk Stargazer,2,30,17,+7,+6,+10,"+8, +8, +8",18,10
Llorona,12,"165 ( negative healing , rejuvenation)",32,+19,+23,+20,+25,,
Lomori Sprout,3,50,17,+6,+11,+8,+9,,
Love Siktempora,16,210,38,+25,+31,+28,+31,"37, 37",
Lovelorn,4,60 ( negative healing ),21,+9,+13,+12,"+13, +13",21,
Lunar Naga,6,100,24,+15,+16,+17,+16,24,16
Lurker In Light,5,72,22,+9,+14,+13,"+14, +14",22,14
Lyrakien,1,25,17,+4,+7,+6,"+7, +7",17,
Maftet Guardian,6,92,23,+14,+15,+12,+17,23,
Mage for Hire,3,31,17,+8,+9,+10,+7,"20, 20",12
Magma Scorpion,8,155,28,+19,+14,+16,"+17, +20, +20",,
Magma Worm,18,410,40,+36,+25,+27,"+34, +36, +36",,
Magnegor,6,100,21,+17,+11,+14,+17,,
Magnetic Gecko,1,20,15,+10,+7,+4,"+7, +7",,
Maharaja,20,320,45,+31,+33,+35,"+34, +38","47, 47",
Majungasaurus,6,120,23,+14,+17,+12,"+16, +16",,
Mammoth,10,190,29,+21,+15,+18,"+22, +22, +22",,
Mammoth Land Star,8,100 (limb regrowth),26,+19,+13,+15,"+20, +20",,
Mandragora,4,60,21,+11,+13,+8,"+14, +14",,
Manta Ray,1,24,16,+6,+9,+6,+8,,
Manticore,6,90,23,+16,+12,+12,"+14, +17, +17",,
Manticore Paaridar,7,110,26,+14,+18,+16,"+16, +18, +18",24,
Marilith,17,380,40,+31,+29,+27,"+33, +35",38,
Marp,4,48,20,+10,+14,+10,+12,,
Marrmora,15,280,37,+29,+25,+27,"+29, +29",36,28
Marsh Giant,8,150,27,+18,+13,+17,"+20, +20, +20",23,
Marut,15,230,37,+27,+25,+26,+30,37,
Mastermind,4,54,21,+6,+11,+16,"+13, +13","22, 22",14
Mastodon,9,175,26,+20,+13,+17,"+21, +21, +21",,
Medusa,7,105,25,+15,+16,+14,"+16, +18, +19",,
Megalania,7,125,25,+17,+15,+13,+18,,
Megalictis,3,42,19,+8,+11,+6,"+11, +11",,
Megalodon,9,180,27,+21,+16,+17,"+22, +22",,
Megaprimatus,8,150,26,+19,+16,+13,"+21, +21",,
Megatherium,5,85,21,+15,+9,+11,"+15, +15",,
Meladaemon,11,225,31,+23,+20,+19,"+24, +24",31,
Melixie,0,17,16,+6,+8,+4,"+8, +8",17,
Melody On The Wind,10,170,30,+16,+22,+19,"+23, +23",,
Melomach,13,292,33,+26,+23,+23,"+21, +26",,
Merchant,-1,7,13,+1,+2,+10,"+4, +4",,
Mercurial,2,30,17,+7,+11,+8,"+9, +10",,
Merfolk Warrior,1,19,18,+6,+9,+4,"+7, +9",,
Merfolk Wavecaller,2,30,17,+6,+6,+10,"+9, +9",18,10
Metal Scamp,1,20 ( fast healing  2 (while touching metal)),15,+7,+5,+5,+9,17,9
Metal Wisp,0,15,16,+7,+3,+6,+6,,
Mezlan,14,260,31,+25,+28,+23,"+28, +30",,
